 0e0 # 1.085854e-08          # dimensionless surface pressure
      1001             # radial resolution
# r  rho
2.115809600000743e+10  1.325178691382127e+01
2.122769500000746e+10  1.312695145513713e+01
2.129729400000748e+10  1.300313686352660e+01
2.136689300000751e+10  1.288033744955772e+01
2.143649200000753e+10  1.275854750408756e+01
2.150609100000756e+10  1.263776129953832e+01
2.157569000000759e+10  1.251797309115060e+01
2.164528900000761e+10  1.239917711821422e+01
2.171488800000764e+10  1.228136760527662e+01
2.178448700000766e+10  1.216453876332912e+01
2.185408600000769e+10  1.204868479097113e+01
2.192368500000772e+10  1.193379987555269e+01
2.199328400000774e+10  1.181987819429520e+01
2.206288300000777e+10  1.170691391539091e+01
2.213248200000779e+10  1.159490119908108e+01
2.220208100000782e+10  1.148383419871317e+01
2.227168000000785e+10  1.137370706177718e+01
2.234127900000787e+10  1.126451393092136e+01
2.241087800000790e+10  1.115624894494757e+01
2.248047700000792e+10  1.104890623978634e+01
2.255007600000795e+10  1.094247994945205e+01
2.261967500000798e+10  1.083696420697816e+01
2.268927400000800e+10  1.073235314533304e+01
2.275887300000803e+10  1.062864089831631e+01
2.282847200000806e+10  1.052582160143607e+01
2.289807100000808e+10  1.042388939276725e+01
2.296767000000811e+10  1.032283841379111e+01
2.303726900000813e+10  1.022266281021638e+01
2.310686800000816e+10  1.012335673278204e+01
2.317646700000818e+10  1.002491433804201e+01
2.324606600000821e+10  9.927329789132056e+00
2.331566500000824e+10  9.830597256519034e+00
2.338526400000826e+10  9.734710918732707e+00
2.345486300000829e+10  9.639664963080390e+00
2.352446200000832e+10  9.545453586344607e+00
2.359406100000834e+10  9.452070995463998e+00
2.366366000000837e+10  9.359511408197688e+00
2.373325900000839e+10  9.267769053773346e+00
2.380285800000842e+10  9.176838173519123e+00
2.387245700000844e+10  9.086713021479724e+00
2.394205600000847e+10  8.997387865016808e+00
2.401165500000850e+10  8.908856985393937e+00
2.408125400000853e+10  8.821114678346290e+00
2.415085300000855e+10  8.734155254635379e+00
2.422045200000858e+10  8.647973040588928e+00
2.429005100000860e+10  8.562562378626184e+00
2.435965000000863e+10  8.477917627768860e+00
2.442924900000865e+10  8.394033164137886e+00
2.449884800000868e+10  8.310903381436225e+00
2.456844700000871e+10  8.228522691417950e+00
2.463804600000873e+10  8.146885524343766e+00
2.470764500000876e+10  8.065986329423222e+00
2.477724400000879e+10  7.985819575243793e+00
2.484684300000881e+10  7.906379750187057e+00
2.491644200000884e+10  7.827661362832130e+00
2.498604100000886e+10  7.749658942346638e+00
2.505564000000889e+10  7.672367038865341e+00
2.512523900000892e+10  7.595780223856662e+00
2.519483800000894e+10  7.519893090477308e+00
2.526443700000897e+10  7.444700253915177e+00
2.533403600000900e+10  7.370196351720735e+00
2.540363500000902e+10  7.296376044127089e+00
2.547323400000905e+10  7.223234014358899e+00
2.554283300000907e+10  7.150764968930369e+00
2.561243200000910e+10  7.078963637932484e+00
2.568203100000912e+10  7.007824775309659e+00
2.575163000000915e+10  6.937343159126033e+00
2.582122900000917e+10  6.867513591821545e+00
2.589082800000920e+10  6.798330900458004e+00
2.596042700000923e+10  6.729789936955329e+00
2.603002600000925e+10  6.661885578318112e+00
2.609962500000928e+10  6.594612726852723e+00
2.616922400000930e+10  6.527966310375094e+00
2.623882300000933e+10  6.461941282409379e+00
2.630842200000936e+10  6.396532622377648e+00
2.637802100000938e+10  6.331735335780794e+00
2.644762000000941e+10  6.267544454370810e+00
2.651721900000943e+10  6.203955036314613e+00
2.658681800000946e+10  6.140962166349566e+00
2.665641700000949e+10  6.078560955930881e+00
2.672601600000951e+10  6.016746543371031e+00
2.679561500000954e+10  5.955514093971361e+00
2.686521400000957e+10  5.894858800146042e+00
2.693481300000959e+10  5.834775881538513e+00
2.700441200000962e+10  5.775260585130572e+00
2.707401100000964e+10  5.716308185344279e+00
2.714361000000967e+10  5.657913984136796e+00
2.721320900000969e+10  5.600073311088329e+00
2.728280800000972e+10  5.542781523483305e+00
2.735240700000975e+10  5.486034006384942e+00
2.742200600000977e+10  5.429826172703328e+00
2.749160500000980e+10  5.374153463257194e+00
2.756120400000983e+10  5.319011346829449e+00
2.763080300000985e+10  5.264395320216694e+00
2.770040200000988e+10  5.210300908272778e+00
2.777000100000990e+10  5.156723663946570e+00
2.783960000000993e+10  5.103659168314074e+00
2.790919900000996e+10  5.051103030604986e+00
2.797879800000998e+10  4.999050888223853e+00
2.804839700001001e+10  4.947498406765950e+00
2.811799600001004e+10  4.896441280027979e+00
2.818759500001006e+10  4.845875230013739e+00
2.825719400001009e+10  4.795796006934874e+00
2.832679300001011e+10  4.746199389206796e+00
2.839639200001014e+10  4.697081183439946e+00
2.846599100001016e+10  4.648437224426457e+00
2.853559000001019e+10  4.600263375122376e+00
2.860518900001022e+10  4.552555526625502e+00
2.867478800001025e+10  4.505309598149012e+00
2.874438700001027e+10  4.458521536990933e+00
2.881398600001030e+10  4.412187318499584e+00
2.888358500001032e+10  4.366302946035099e+00
2.895318400001035e+10  4.320864450927112e+00
2.902278300001037e+10  4.275867892428727e+00
2.909238200001040e+10  4.231309357666863e+00
